X,Y,Z
0.01,-0.03,-0.0
0.01,-0.03,-0.0
0.01,-0.03,-0.0
0.01,-0.03,-0.0
0.01,-0.03,-0.0
0.01,-0.03,-0.0
0.01,-0.03,-0.0
0.01,-0.02,-0.0
0.01,-0.02,-0.0
0.01,-0.02,-0.0
0.01,-0.02,-0.0
0.04,-0.02,-0.0
0.04,-0.02,-0.0
0.04,-0.02,-0.0
0.04,-0.02,-0.0
0.11,-0.01,-0.0
0.11,-0.01,-0.0
0.11,-0.01,-0.0
0.11,-0.01,-0.0
0.23,-0.01,-0.01
0.23,-0.01,-0.01
0.23,-0.01,-0.01
0.23,-0.01,-0.01
0.36,-0.01,-0.01
0.36,-0.01,-0.01
0.36,-0.01,-0.01
0.36,-0.01,-0.01
0.51,-0.02,-0.01
0.51,-0.02,-0.01
0.51,-0.02,-0.01
0.51,-0.02,-0.01
0.68,-0.02,-0.0
0.68,-0.02,-0.0
0.68,-0.02,-0.0
0.68,-0.02,-0.0
0.85,-0.02,-0.0
0.85,-0.02,-0.0
0.85,-0.02,-0.0
0.85,-0.02,-0.0
1.02,-0.02,-0.0
1.02,-0.02,-0.0
1.02,-0.02,-0.0
1.02,-0.02,-0.0
1.2,-0.01,-0.0
1.2,-0.01,-0.0
1.2,-0.01,-0.0
1.2,-0.01,-0.0
1.37,-0.01,-0.0
1.37,-0.01,-0.0
1.37,-0.01,-0.0
1.37,-0.01,-0.0
1.53,-0.0,0.02
1.53,-0.0,0.02
1.53,-0.0,0.02
1.53,-0.0,0.02
1.69,0.04,0.06
1.69,0.04,0.06
1.69,0.04,0.06
1.69,0.04,0.06
1.8,0.12,0.13
1.8,0.12,0.13
1.8,0.12,0.13
1.8,0.12,0.13
1.89,0.23,0.21
1.89,0.23,0.21
1.89,0.23,0.21
1.89,0.23,0.21
1.96,0.37,0.26
1.96,0.37,0.26
1.96,0.37,0.26
1.96,0.37,0.26
2.04,0.47,0.28
2.04,0.47,0.28
2.04,0.47,0.28
2.04,0.47,0.28
2.13,0.55,0.28
2.13,0.55,0.28
2.13,0.55,0.28
2.13,0.55,0.28
2.26,0.58,0.26
2.26,0.58,0.26
