X,Y,Z
0.03,-0.0,0.0
0.03,0.0,0.01
0.03,0.0,0.01
0.03,0.0,0.01
0.03,0.0,0.01
0.02,0.0,0.01
0.02,0.0,0.01
0.02,0.0,0.01
0.02,0.0,0.01
0.04,0.01,0.0
0.04,0.01,0.0
0.04,0.01,0.0
0.04,0.01,0.0
0.09,0.02,-0.0
0.09,0.02,-0.0
0.09,0.02,-0.0
0.09,0.02,-0.0
0.19,0.02,-0.01
0.19,0.02,-0.01
0.19,0.02,-0.01
0.19,0.02,-0.01
0.33,0.03,-0.02
0.33,0.03,-0.02
0.33,0.03,-0.02
0.33,0.03,-0.02
0.5,0.03,-0.02
0.5,0.03,-0.02
0.5,0.03,-0.02
0.5,0.03,-0.02
0.67,0.04,-0.02
0.67,0.04,-0.02
0.67,0.04,-0.02
0.67,0.04,-0.02
0.85,0.04,-0.02
0.85,0.04,-0.02
0.85,0.04,-0.02
0.85,0.04,-0.02
1.03,0.05,-0.02
1.03,0.05,-0.02
1.03,0.05,-0.02
1.03,0.05,-0.02
1.22,0.05,-0.02
1.22,0.05,-0.02
1.22,0.05,-0.02
1.22,0.05,-0.02
1.39,0.06,-0.05
1.39,0.06,-0.05
1.39,0.06,-0.05
1.39,0.06,-0.05
1.53,0.11,-0.11
1.53,0.11,-0.11
1.53,0.11,-0.11
1.53,0.11,-0.11
1.64,0.2,-0.19
1.64,0.2,-0.19
1.64,0.2,-0.19
1.64,0.2,-0.19
1.71,0.33,-0.27
1.71,0.33,-0.27
1.71,0.33,-0.27
1.71,0.33,-0.27
1.77,0.44,-0.31
1.77,0.44,-0.31
1.77,0.44,-0.31
1.77,0.44,-0.31
1.84,0.53,-0.33
1.84,0.53,-0.33
1.84,0.53,-0.33
1.84,0.53,-0.33
1.94,0.6,-0.32
1.94,0.6,-0.32
1.94,0.6,-0.32
1.94,0.6,-0.32
2.05,0.63,-0.31
2.05,0.63,-0.31
2.05,0.63,-0.31
2.05,0.63,-0.31
2.18,0.64,-0.29
2.18,0.64,-0.29
2.18,0.64,-0.29
2.18,0.64,-0.29
2.31,0.62,-0.27
2.31,0.62,-0.27
2.31,0.62,-0.27
2.31,0.62,-0.27
2.44,0.57,-0.25
2.44,0.57,-0.25
2.44,0.57,-0.25
2.44,0.57,-0.25
2.56,0.51,-0.23
2.56,0.51,-0.23
